Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
city/none/normalized/uh3023/Array,,,,,,,,,,,,,,,,
選挙回,都道府県コード,都道府県名,JISコード,市区町村名,有権者数,投票者数,有効投票数,定数,候補者数,市区町村別得票数,得票総数,順位,名前,年齢,党派・会派等,現新
uh3023,28,兵庫県,28212,赤穂市,41147,21522,20839,50,12,58,,9,,0,新党大地,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,52,,11,,0,みどりの風,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,1097,,6,,0,みんなの党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,3125,,2,,0,公明党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,61,,12,,0,幸福実現党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,39,,9,,0,新党大地,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,1200,,5,,0,日本共産党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,3324,,4,,0,日本維新の会,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,2471,,3,,0,民主党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,156,,8,,0,生活の党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,240,,7,,0,社会民主党,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,128,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28213,西脇市,34899,19554,18866,50,12,6972,,1,,0,自由民主党,
uh3023,28,兵庫県,28214,宝塚市,187960,100681,98563,50,12,1186,,10,,0,緑の党グリーンズジャパン,
